"Work Item Type","ID","Title","Assigned To","State","Area Path","Tags","Comment Count","Changed Date","Changed By","Iteration Path","History"
"User Story","652","Define candidate integration PR policy","Fu Chen <fu@rangam.com>","Active","Interview-Coach-Candidate\Integration","azure-devops; candidate; integration-team-needed","0","5/9/2026 18:52","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Discovery",""
"User Story","651","Open candidate integration PR in company Azure repo","Fu Chen <fu@rangam.com>","Resolved","Interview-Coach-Candidate\Integration","azure-devops; candidate","1","5/9/2026 18:52","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Discovery",""
"User Story","650","Port candidate docs into company Azure branch","Fu Chen <fu@rangam.com>","Resolved","Interview-Coach-Candidate\Integration","azure-devops; candidate; docs","1","5/9/2026 18:52","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Discovery",""
"User Story","649","Track shared host route ownership","Himanshu Sagar <himanshusagar@rangam.com>","Active","Interview-Coach-Candidate\Integration","candidate; integration-team-needed; shared-host-routing","0","5/9/2026 20:11","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Auth Handoff",""
"User Story","648","Track TalentArbor login return contract","Himanshu Sagar <himanshusagar@rangam.com>","Active","Interview-Coach-Candidate\Integration","auth-handoff; candidate; integration-team-needed","0","5/9/2026 20:11","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Auth Handoff",""
"User Story","647","Create candidate integration dashboard","Fu Chen <fu@rangam.com>","Resolved","Interview-Coach-Candidate\Integration","azure-devops; candidate","1","5/9/2026 18:52","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Discovery",""
"User Story","646","Publish company code wiki when access allows","Himanshu Sagar <himanshusagar@rangam.com>","Active","Interview-Coach-Candidate\Integration","azure-devops; candidate; docs; integration-team-needed","1","5/9/2026 20:11","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Discovery",""
"User Story","645","Create candidate integration context branch in company Azure repo","Fu Chen <fu@rangam.com>","Closed","Interview-Coach-Candidate\Integration","azure-repos; branch-strategy; candidate","0","5/8/2026 15:00","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Discovery",""
"User Story","644","Document shared host route and candidate login redirect contracts","Fu Chen <fu@rangam.com>","Active","Interview-Coach-Candidate\Shared Platform","candidate; shared-host-routing","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate MVP Shell",""
"Feature","643","Candidate app integration planning control plane","Fu Chen <fu@rangam.com>","Active","Interview-Coach-Candidate\Integration","azure-devops; candidate","0","5/9/2026 18:52","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Discovery",""
"Task","642","Establish working docs and ground-truth docs","Fu Chen <fu@rangam.com>","Closed","Interview-Coach-Candidate\Candidate","candidate; docs; foundation","1","5/9/2026 20:20","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Discovery",""
"User Story","641","Establish ground-truth docs and single working backlog","Fu Chen <fu@rangam.com>","Resolved","Interview-Coach-Candidate\Candidate","candidate; docs; foundation","3","5/9/2026 20:11","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Discovery",""
"Feature","640","Repo and docs baseline","Fu Chen <fu@rangam.com>","Resolved","Interview-Coach-Candidate\Candidate","candidate; docs; foundation","3","5/9/2026 20:11","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Discovery",""
"Epic","639","Product Foundation And Governance","Fu Chen <fu@rangam.com>","Active","Interview-Coach-Candidate\Candidate","candidate","3","5/9/2026 20:11","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Discovery",""
